log_diff,betta,Io,phi,IFR,xi,offset
0.1,0.11622026,2.00929054e-06,0.49821014,0.00803618,0.0960422,1
0.1,0.19754153,3.13513136e-06,0.50242859,0.01287457,0.12108549,9
0.1,0.19825413,4.74624386e-06,0.92249898,0.01122473,0.08464433,8
0.1,0.25864918,6.66913175e-06,0.49714853,0.01150202,0.15365973,7
0.1,0.20670335,3.17738083e-06,0.66638788,0.01266356,0.13984017,3
0.1,0.25496889,5.95656066e-06,0.89124993,0.01018357,0.09522755,1
0.1,0.25701816,3.98069700e-06,0.82831007,0.01086704,0.12254949,3
0.1,0.26838747,5.93558263e-06,0.24472084,0.0092262,0.15111159,4
0.1,0.10760175,2.44383108e-06,0.6953621,0.00851441,0.13096254,7
0.1,0.21581159,3.36455882e-06,0.55469599,0.00954504,0.10284748,9
0.1,0.13395626,3.29719732e-06,0.8660648,0.00938272,0.09128579,8
0.1,0.20435991,5.95754142e-06,0.57995366,0.01246308,0.12073574,6
0.1,0.14873019,2.53084849e-06,0.43732726,0.0087858,0.08870857,7
0.1,0.15113722,2.69638896e-06,0.8237923,0.01021292,0.11539852,6
0.1,0.24800274,1.96456081e-06,0.34466758,0.01081554,0.14447521,7
0.1,0.1440885,5.22262368e-06,0.27709738,0.01309794,0.13233183,2
0.1,0.23541444,2.61154307e-06,0.28244306,0.00860925,0.10907963,4
0.1,0.18053347,5.47664683e-06,0.61554088,0.01094364,0.09986047,4
0.1,0.19855167,4.35080664e-06,0.51590557,0.00849468,0.08793797,7
0.1,0.23208172,3.91967925e-06,0.79840375,0.0118213,0.11773125,9
0.1,0.15215311,2.39809269e-06,0.36623368,0.01262338,0.14214905,4
0.1,0.25377898,6.59924844e-06,0.78759709,0.00947258,0.10293255,9
0.1,0.10772926,6.36867568e-06,0.76510738,0.00939916,0.12732195,4
0.1,0.24452792,3.57151350e-06,0.62231883,0.00866427,0.10714366,6
0.1,0.23710232,5.71086949e-06,0.87881118,0.0128625,0.10186083,8
0.1,0.15703564,3.82225663e-06,0.41993811,0.00874486,0.15064001,2
0.1,0.13418235,3.06905514e-06,0.89614157,0.01204766,0.13673197,4
0.1,0.21876167,5.61628227e-06,0.86961785,0.01003555,0.11752992,8
0.1,0.1200934,6.12419822e-06,0.26765447,0.01052868,0.0926246,9
0.1,0.18592985,2.83860897e-06,0.26650982,0.01309586,0.11038146,3
0.1,0.24807424,2.87703281e-06,0.4390448,0.01286839,0.13007908,2
0.1,0.13816262,3.29231040e-06,0.2823197,0.01215214,0.15223903,4
0.1,0.15696635,5.94280121e-06,0.30469175,0.01016685,0.10278127,4
0.1,0.21615351,3.66906781e-06,0.2619135,0.01269199,0.13147343,1
0.1,0.23610512,5.20936593e-06,0.58587754,0.00847061,0.15154959,5
0.1,0.15825003,3.67448890e-06,0.91631395,0.01230605,0.13428454,7
0.1,0.12789078,6.35106766e-06,0.40092675,0.01070349,0.09526529,5
0.1,0.1440815,1.99966755e-06,0.7128052,0.00906063,0.11754581,9
0.1,0.12100571,3.62289064e-06,0.55875292,0.00920636,0.10230294,7
0.1,0.26267786,2.76648286e-06,0.41350587,0.01156152,0.08400907,6
0.1,0.23603955,6.50200429e-06,0.49913816,0.01180906,0.12147006,8
0.1,0.18802755,4.45219919e-06,0.64419967,0.01044778,0.08531317,6
0.1,0.192214,3.00289130e-06,0.80826574,0.01211944,0.08376157,7
0.1,0.19519593,3.04200282e-06,0.27418366,0.00896194,0.10705621,8
0.1,0.11160933,4.96060872e-06,0.61502486,0.00887548,0.10962574,1
0.1,0.1522563,6.72536237e-06,0.41480611,0.01013464,0.12702432,2
0.1,0.16323349,5.80980206e-06,0.58999905,0.01290013,0.11519045,4
0.1,0.20992171,2.38022125e-06,0.87254107,0.01151516,0.0981668,9
0.1,0.20285781,5.39073440e-06,0.57023843,0.01142764,0.13052382,9
0.1,0.25980029,6.03714519e-06,0.80417966,0.00910412,0.15362522,2
0.1,0.25787806,2.81501668e-06,0.2945979,0.01021533,0.13588651,1
0.1,0.11428976,3.50402445e-06,0.43013246,0.01073076,0.13141491,8
0.1,0.16480336,2.57409456e-06,0.74988146,0.01126806,0.09861355,7
0.1,0.13671649,3.52395488e-06,0.72368519,0.01266917,0.13271122,7
0.1,0.21388644,6.73567589e-06,0.67371166,0.00933364,0.13679796,3
0.1,0.21902185,3.10797022e-06,0.31350068,0.01068209,0.13486363,8
0.1,0.11890976,6.51656795e-06,0.51863838,0.01284045,0.13674392,4
0.1,0.10973554,6.72884074e-06,0.47889274,0.00932122,0.10168792,1
0.1,0.21298641,2.15697236e-06,0.84441037,0.01140466,0.13034413,3
0.1,0.26281314,4.51878612e-06,0.31047646,0.01216012,0.13353454,8
0.1,0.13731008,5.99006422e-06,0.27214367,0.01092337,0.15025239,1
0.1,0.12230886,2.42395515e-06,0.89094765,0.0114495,0.10771678,8
0.1,0.11345258,5.30575395e-06,0.34565431,0.01130801,0.10749728,9
0.1,0.15348761,2.09104617e-06,0.48127041,0.00872583,0.14126098,1
0.1,0.17351322,6.05475905e-06,0.45653483,0.00967258,0.13869793,9
0.1,0.15527073,6.60162604e-06,0.60951999,0.0079634,0.14379646,8
0.1,0.17196938,2.38100021e-06,0.52968284,0.01288904,0.12734422,5
0.1,0.21792696,2.54276616e-06,0.59367311,0.00806548,0.14401327,1
0.1,0.18361504,2.50394464e-06,0.59774405,0.00951713,0.08431207,1
0.1,0.15557637,1.95020474e-06,0.54240073,0.01273218,0.10999511,9
0.1,0.26307793,3.51043648e-06,0.86062866,0.01218964,0.0936669,7
0.1,0.21756464,4.14270274e-06,0.24753865,0.00878553,0.10315648,8
0.1,0.13582808,6.05888431e-06,0.86111434,0.00872484,0.14996814,4
0.1,0.1956602,2.02094774e-06,0.74628885,0.00805329,0.14130056,7
0.1,0.24699182,3.53804063e-06,0.47515076,0.00886812,0.13172587,7
0.1,0.1316975,2.24429260e-06,0.37757632,0.00929358,0.13608977,1
0.1,0.26073573,4.17045047e-06,0.81756929,0.01082616,0.08475575,6
0.1,0.13908796,4.87902988e-06,0.82305011,0.00974302,0.10767874,2
0.1,0.13539218,3.86930452e-06,0.50736299,0.00910038,0.09401205,7
0.1,0.2566219,2.07466543e-06,0.38049726,0.01206612,0.15035542,5
0.1,0.10697224,3.68555810e-06,0.71059495,0.00873068,0.09175306,2
0.1,0.15274157,2.63058436e-06,0.68263464,0.00861664,0.12783025,2
0.1,0.25938245,6.35007590e-06,0.77005664,0.01247987,0.11737605,4
0.1,0.19385419,4.17825150e-06,0.9103141,0.01231946,0.13791695,3
0.1,0.11319985,5.68832798e-06,0.83573027,0.00906101,0.11798191,2
0.1,0.21945338,2.31794084e-06,0.60834497,0.0096776,0.12634943,9
0.1,0.2514451,4.18288574e-06,0.61132051,0.01310195,0.12980973,3
0.1,0.15939073,4.08904829e-06,0.59743539,0.01110542,0.08155455,8
0.1,0.12402312,4.09112229e-06,0.58066228,0.00815557,0.12465323,3
0.1,0.15395394,6.17840421e-06,0.33789509,0.0086055,0.11707119,4
0.1,0.19672948,4.62639984e-06,0.90293933,0.01077516,0.11971801,4
0.1,0.14003869,6.84683351e-06,0.57794225,0.011371,0.10342209,4
0.1,0.2666133,4.26746705e-06,0.72276469,0.01175438,0.13838594,2
0.1,0.26204595,5.20396297e-06,0.46363934,0.01175298,0.11097047,6
0.1,0.14940601,6.46534669e-06,0.80809102,0.00957899,0.0939369,1
0.1,0.23728364,4.47514987e-06,0.88898279,0.01224558,0.14584405,2
0.1,0.130051,4.52348341e-06,0.47069819,0.01159273,0.09851554,8
0.1,0.22384825,1.94066373e-06,0.34557187,0.00793009,0.1413019,9
0.1,0.16460691,4.88587106e-06,0.72039772,0.00983145,0.14471916,2
0.1,0.23605472,4.46737758e-06,0.44993522,0.01077837,0.08366238,5
