log_diff,betta,Io,phi,IFR,xi,offset
0.,0.25659599,6.72962243e-06,0.22641224,0.01217703,0.09049393,1
0.,0.09345612,2.07537037e-06,0.37379617,0.00859624,0.15926444,10
0.,0.08407297,6.61064537e-06,0.15362707,0.01128742,0.1181904,8
0.,0.28592735,2.26557686e-06,0.69342607,0.00718755,0.14164116,2
0.,0.15618359,3.58173238e-06,0.41592381,0.00776408,0.11775712,10
0.,0.17541282,2.51771377e-06,0.81376772,0.00715002,0.08488394,8
0.,0.08412583,4.16127034e-06,0.85495538,0.00976549,0.13945703,9
0.,0.05998922,7.11652484e-06,0.27455161,0.01083855,0.08813963,9
0.,0.2739784,3.30594044e-06,0.32093208,0.01152419,0.0797775,4
0.,0.0972747,7.47043002e-06,0.36536082,0.01260464,0.12783653,9
0.,0.16025492,7.48134489e-06,0.46599797,0.01197576,0.13630922,4
0.,0.11840824,7.66852958e-06,0.9537348,0.00876648,0.08797547,6
0.,0.13042007,7.19330091e-06,0.47216914,0.01158168,0.11963427,1
0.,0.09264893,6.71047406e-06,0.38778338,0.01357357,0.10051659,10
0.,0.09874303,4.95548277e-06,0.47856589,0.00977936,0.09617581,2
0.,0.25960809,4.19443798e-06,0.37545616,0.00804813,0.11666773,10
0.,0.14551061,7.48188172e-06,0.8188094,0.01313373,0.07247953,7
0.,0.26842043,4.33323350e-06,0.82314471,0.01097083,0.12428136,6
0.,0.10595609,4.29069518e-06,0.88533633,0.01240005,0.15438478,9
0.,0.10783883,5.47047579e-06,0.95562535,0.01355072,0.14840346,4
