log_diff,betta,mu,Io
8.333612072282925096e-03,1.993110142464122880e-01,7.918689051419464109e-02,1.001506419372234214e-05
2.343243866328284866e-02,1.997216914282643752e-01,8.002053454082312667e-02,1.024477341740986417e-05
1.460048881747805574e-02,1.984899444882833597e-01,7.830073524049434297e-02,1.007563630851159576e-05
2.899545277340902921e-02,1.999442374031102643e-01,7.961840182637061614e-02,9.807942896280648598e-06
2.015957489918618339e-02,1.974421992263049042e-01,7.748146654418107404e-02,1.037515516310287753e-05
2.817675888548062252e-02,2.048878054965934670e-01,8.509080018724671235e-02,9.494475883794245195e-06
2.845126484414573637e-02,1.993273912491478617e-01,7.950131144668014238e-02,1.017659720789862978e-05
1.661847159499479573e-02,2.028279454691482853e-01,8.297589601469589071e-02,9.729106658732665670e-06
2.525608138975600492e-02,2.039950672968484091e-01,8.411638744366506382e-02,9.578353641498516506e-06
2.626525150951124904e-02,1.972674874212505813e-01,7.743102725869609182e-02,1.054755304464054575e-05
1.782404952619110264e-02,2.001750303372674955e-01,8.032102051522463371e-02,1.005558304725725824e-05
2.772662142329774052e-02,2.045795856151351733e-01,8.451292616665426194e-02,9.371611446432279451e-06
2.789226425650793637e-02,1.986326640884715222e-01,7.871698941584277798e-02,1.020953037554620073e-05
2.369817046968153776e-02,1.958625427106036321e-01,7.570604860757436383e-02,1.052749705144066211e-05
5.511587830791416648e-03,1.991296627978481615e-01,7.914267317235063048e-02,1.013307230211772246e-05
2.145851555851888137e-02,1.986174008996859641e-01,7.881975495276873078e-02,1.032226740947062515e-05
1.907544428914432350e-02,2.008138089264166204e-01,8.099079128218519830e-02,1.003214492602282560e-05
1.904382727746192078e-02,1.969751518522203926e-01,7.660930055997383636e-02,1.019462150361765172e-05
1.922610069271371916e-02,2.032160091988236272e-01,8.321743374872418719e-02,9.568005644584577518e-06
1.543952710737469744e-02,2.000806274720999256e-01,8.021939917666646991e-02,1.010651612330013921e-05
1.732616776337982806e-02,1.987346679388218296e-01,7.882830011909768009e-02,1.027091982171972220e-05
2.927163629937268655e-02,1.981179354517776936e-01,7.798140910399095627e-02,1.013203287665860028e-05
3.004212536185954172e-02,1.974183124199457573e-01,7.757952148681726556e-02,1.045012657887462141e-05
3.017766211844516780e-02,2.054253362016050799e-01,8.551244406213708016e-02,9.365789178466912189e-06
2.640144179045285366e-02,1.950174621237733552e-01,7.445781751636557089e-02,1.037211362063734490e-05
2.849429946649856965e-02,2.049850669414956250e-01,8.521388822600589608e-02,9.502637631190392789e-06
1.970577414187684936e-02,2.015901609085572754e-01,8.176723451539588683e-02,9.923907613774060588e-06
2.468547002908560647e-02,1.975087612396026759e-01,7.729722708580821777e-02,1.024205704036898425e-05
2.461105853486809242e-02,1.976215916884535018e-01,7.786238432637722362e-02,1.052982545303497089e-05
6.706705435675508996e-03,1.996435131526957396e-01,7.956800083165856130e-02,9.991712345511553456e-06
1.451023873618326882e-02,1.977189883580293128e-01,7.764917813003742453e-02,1.029571399562180054e-05
1.767691646280007689e-02,1.984976188511432538e-01,7.863989357336005626e-02,1.033854830255472471e-05
1.463229202817223351e-02,1.986034728939746752e-01,7.872613915019040232e-02,1.027461144664168767e-05
2.259907752447841423e-02,1.993254909175044276e-01,7.933403088384961832e-02,1.013370334265823492e-05
1.775099718681095312e-02,1.980436258353251711e-01,7.775588487642497160e-02,1.008075521958464542e-05
3.019273467266312544e-02,2.040063591047023006e-01,8.387642987847535037e-02,9.364879206855928557e-06
5.664094034971612138e-03,1.991596545031174559e-01,7.917951066478551292e-02,1.012986725426606088e-05
2.029316986002915532e-02,2.006415695010852207e-01,8.043319253547585868e-02,9.741998070419548181e-06
2.837776378270837063e-02,1.962633350700754842e-01,7.640865513729615255e-02,1.067161036516690174e-05
2.603088507897485457e-02,1.968274478326393073e-01,7.696687098906682123e-02,1.054785391199487455e-05
2.403311159116625767e-02,1.957989697752270386e-01,7.570179819957043033e-02,1.057365901269961708e-05
2.133627406481249100e-02,2.028644382377140509e-01,8.272382957001503390e-02,9.512494496484800497e-06
2.238611658761695961e-02,1.960588457174544108e-01,7.573797840797452663e-02,1.034905102018092744e-05
1.552793148809653891e-02,1.992877380925055231e-01,7.906483970891899082e-02,9.944076613929103643e-06
2.648902246664110519e-02,2.029101540985668028e-01,8.325446336255495905e-02,9.841192826600409909e-06
1.378958825340343905e-02,1.992841893906853179e-01,7.942866562863090674e-02,1.019290755758497329e-05
3.016662639329387857e-02,1.988731119655401947e-01,7.902067975312498938e-02,1.021844634492034688e-05
2.962245730407856922e-02,1.990649742924159027e-01,7.870301535519214076e-02,9.857978622085593584e-06
3.034319108970945714e-02,2.028810882184677311e-01,8.254980860998466230e-02,9.406059208821872548e-06
8.994568090283573680e-03,1.982891021367312323e-01,7.821228325474670340e-02,1.019636882571072269e-05
2.762969543558536217e-02,2.047583555629489682e-01,8.495975472176901799e-02,9.508209183591802266e-06
2.954871306227143876e-02,2.022385137991319359e-01,8.256045288137750515e-02,9.938679204633361024e-06
1.708702013707540796e-02,1.972477857284977154e-01,7.713003189764536249e-02,1.030072174893099934e-05
3.017181913960350487e-02,2.027704319518832121e-01,8.314401028210874345e-02,9.869427300828199421e-06
1.528624395338549179e-02,1.971799414454667998e-01,7.709293166314007406e-02,1.035812675429716906e-05
1.677318497946230294e-02,1.975990229082693617e-01,7.766476650547236849e-02,1.040185220318404738e-05
2.242813105352248898e-02,1.998928431470259059e-01,8.000260927166627511e-02,1.012707149911139166e-05
1.213196942919120280e-02,1.975619398056513709e-01,7.743562400663926704e-02,1.026058877097648858e-05
2.406716342665689290e-02,2.010196761393099885e-01,8.072659268046185332e-02,9.642161029026301820e-06
7.282288450030876756e-03,2.000379229399254777e-01,8.004668083767479958e-02,1.001201293556678367e-05
2.276262448552246118e-02,2.013228219090598681e-01,8.143859308037830480e-02,9.930784414065448821e-06
2.259796936464214534e-02,1.963004329570752493e-01,7.621323030365470541e-02,1.046278282185640733e-05
2.214665417798033012e-02,1.975710226923568236e-01,7.766699478846381122e-02,1.044893161411322092e-05
2.460071784241995435e-02,2.026200015007865729e-01,8.235689796400536000e-02,9.470106457971052329e-06
1.821498544605607353e-02,1.977591090522118344e-01,7.767151496871133043e-02,1.028413246316413556e-05
1.852036108747922086e-02,1.964043275509663733e-01,7.628242168509588583e-02,1.044286880081795929e-05
2.353203527553554900e-02,2.023222249177441256e-01,8.211817494455707356e-02,9.571593673591464682e-06
2.911727575804952048e-02,1.980486222686680675e-01,7.784732645199107792e-02,1.017644034697509429e-05
2.642307834428304220e-02,1.944222074543245637e-01,7.395174373123414302e-02,1.053150428429871608e-05
2.998095358731507967e-02,1.964211413778195747e-01,7.663060137466527755e-02,1.068172506198653155e-05
