log_diff,betta,Io,phi,IFR,xi,offset
0.,0.28607281,5.29265326e-06,0.70769549,0.0117953,0.07862015,2
0.,0.2232926,7.21944018e-06,0.25181081,0.00929233,0.07600903,4
0.,0.09276671,2.76498057e-06,0.13115396,0.00977224,0.07414932,7
0.,0.16432395,5.93063122e-06,0.81719215,0.01155123,0.06918442,6
0.,0.12534854,7.29839334e-06,0.11779442,0.00626453,0.0666642,8
0.,0.19080491,5.90596661e-06,0.61467525,0.00896876,0.15787702,0
0.,0.16706317,1.90696834e-06,0.6642869,0.00838705,0.09032341,1
0.,0.20491407,6.70721354e-06,0.47275742,0.00871331,0.13967732,6
0.,0.21271556,2.43429723e-06,0.73179077,0.00730261,0.13503257,6
0.,0.27556647,7.45821310e-06,0.65429086,0.01246895,0.14542386,8
