log_diff,betta,Io
3.099759384611786364e-02,2.000948613622366423e-01,5.984097423642919698e-05
5.011110780068533249e-02,2.003045653092583867e-01,5.926025874103190783e-05
6.328847516935634521e-02,2.000685359307559641e-01,6.005663402107303786e-05
9.682138903563014543e-02,2.004738362699499676e-01,5.895119912765282833e-05
6.535171401319081474e-02,2.002373523342164674e-01,5.954993487694375097e-05
1.856533202389011247e-02,2.000092519152205373e-01,5.989443993348876708e-05
4.519858617077258250e-02,2.002903556894258807e-01,5.894772961264389160e-05
4.027595834938847014e-02,1.996074561411441128e-01,6.118283374639685778e-05
9.408120577151560249e-02,1.999493495472812743e-01,5.976062986423917920e-05
6.062567735709495365e-02,1.994617320515192915e-01,6.154223531860806597e-05
1.062469710956377017e-01,1.990656758373380020e-01,6.322240434135899126e-05
1.016662764537741570e-01,2.006531904981462000e-01,5.839324875061740935e-05
9.735206011121144698e-02,1.998643530473253882e-01,6.082362653821684657e-05
7.381055548704178182e-02,1.994416433474759387e-01,6.150114853660598139e-05
7.556420909429434341e-02,1.992801260482055525e-01,6.238246870767888376e-05
8.268077346323016164e-02,1.994255999722612804e-01,6.209686155640313423e-05
4.433849882855970398e-02,1.995754687061377375e-01,6.126273784514323030e-05
3.050698238561283179e-02,1.997239410517121783e-01,6.079240016820659879e-05
6.875116545087171793e-02,2.002499579658674755e-01,5.952583245516996551e-05
1.023472742956611642e-01,1.998299321910145254e-01,6.095072090849816456e-05
6.833272898979966814e-02,2.006437314385984272e-01,5.792795954721140494e-05
7.700310295375212277e-02,2.003206477812976005e-01,5.934221643353877708e-05
1.062834686630817205e-01,1.999784904215801129e-01,6.051140221415538429e-05
7.997213695889793250e-02,2.005544691065659080e-01,5.804099784308492050e-05
3.843435808108402324e-02,1.996602619802277379e-01,6.096638007924573088e-05
1.015373992348139048e-01,2.008149258195219555e-01,5.783576550843243838e-05
5.090140653707871110e-02,2.005092137133387131e-01,5.844564789962966496e-05
4.811569810993917423e-02,1.995749478310717417e-01,6.144360434443014573e-05
4.408973804756646797e-02,2.002496084053601022e-01,5.940953690050121031e-05
6.623390763519862445e-02,1.994206377033653221e-01,6.165075994264728387e-05
7.595438567709034139e-02,2.007085254908578809e-01,5.799055677908315754e-05
3.733250548358551385e-02,2.001907321735218737e-01,5.927020781190623305e-05
6.688215169739177013e-02,1.993483573994498659e-01,6.211941513236238406e-05
1.001430464494022926e-01,2.005347452265314745e-01,5.877261392713966785e-05
6.468206517120096699e-02,2.005422688823069177e-01,5.852552829656472444e-05
3.505535404911589575e-02,1.997869889260570075e-01,6.052345244954969873e-05
4.325035266987617422e-02,2.004062484019906165e-01,5.868284145625827348e-05
1.738899423605723416e-02,2.001700735063142722e-01,5.945870369635429217e-05
1.282319484306464544e-02,2.000257234874517898e-01,5.986852989511895056e-05
5.317914736587310565e-02,1.995991378259180382e-01,6.142630622824572784e-05
9.634830024020953065e-02,1.991029799194472538e-01,6.265789934517907789e-05
9.468676727505841162e-02,1.996234773461869061e-01,6.076303212479571041e-05
5.532021918821584255e-02,1.998486503027251393e-01,6.069413550747158203e-05
3.124092445534939685e-02,2.001593677988049991e-01,5.938940567075555650e-05
1.050326977038289616e-01,1.999926930954628035e-01,6.046272654332167845e-05
9.939079018292208689e-02,2.009810744019569773e-01,5.695570921074912798e-05
4.318962285232893356e-02,1.995866015912961533e-01,6.135409208035737271e-05
9.952836953424339106e-02,1.990828568808462595e-01,6.310286728123797604e-05
9.955807397432489547e-02,1.997091027626153037e-01,6.131226036524664081e-05
4.022690578633419251e-02,2.002242023020277262e-01,5.915945813808245058e-05
1.514244634581786257e-02,2.001478826634397468e-01,5.952850333078578589e-05
9.628107523738189955e-02,1.990911616126241901e-01,6.303782806895864431e-05
4.534036324995511374e-02,1.995696833088561606e-01,6.141698561728168822e-05
7.452717158140712006e-02,1.997477799410950494e-01,6.045982722191195339e-05
1.012527587590666273e-01,1.990640806737664636e-01,6.276500284883943653e-05
1.051832485790027277e-01,2.008215968264407403e-01,5.783997880495393099e-05
8.296131677817103478e-02,2.006356471853886769e-01,5.833280637647151972e-05
7.453513151778172474e-02,1.995097171672437220e-01,6.124943028255148752e-05
1.026921252860587830e-01,2.010178171543062220e-01,5.701825891354738276e-05
1.037879729923766869e-01,1.992014845294503567e-01,6.285837124040031892e-05
6.212947400126827419e-02,2.006044368724300975e-01,5.808729224416285791e-05
5.635550047625901421e-02,1.998945958899478459e-01,6.008430158038037479e-05
5.065109243350719714e-02,1.998105103296561880e-01,6.036901501047334408e-05
1.073252387403482166e-01,1.996455998530956011e-01,6.063559877430743753e-05
3.868943876724712655e-02,2.003856312196593548e-01,5.880501338621994513e-05
1.053849384834010250e-01,1.992794888706435064e-01,6.187283379787446031e-05
2.332834882137383228e-02,2.001207354151928741e-01,5.972400460436438809e-05
9.802579618683203433e-02,2.007367654726782691e-01,5.746039739622661171e-05
1.014884169213306764e-01,1.990329265114142154e-01,6.291267071685099281e-05
7.177343977096259375e-02,2.001475334416201179e-01,5.985257821175383563e-05
6.008911105601025954e-02,1.994034534190215202e-01,6.188739047825586169e-05
8.620847437399840885e-02,1.991698455076754415e-01,6.250925966002027234e-05
8.835687474905659644e-02,1.991254084475764241e-01,6.273314135037092614e-05
7.841659409085385835e-02,1.999834283480023678e-01,5.972296610830280926e-05
5.404457074493195651e-02,2.001836779538666566e-01,5.966665105666372094e-05
1.077018214416247538e-01,2.005872180340608768e-01,5.864214703854384877e-05
1.526747049104117994e-02,1.998536600863495272e-01,6.047583059179683111e-05
1.064711248489862844e-01,2.009608164213839421e-01,5.733628277437492114e-05
1.063518883470488535e-01,1.996498743447823188e-01,6.062646668455161787e-05
9.877681742364904927e-02,2.007009959649135311e-01,5.754732408262799902e-05
8.320387774686308080e-02,2.008227878148026724e-01,5.744266613135096963e-05
7.648062096302155055e-02,2.003490065257354513e-01,5.925028625007963288e-05
8.270127112769724842e-02,2.008272833016221948e-01,5.752539221165901329e-05
9.590771119300781078e-02,2.002951625442280226e-01,5.950468612663163031e-05
1.030293546959090006e-01,2.010310740370227500e-01,5.685804154762366880e-05
7.398851657572480534e-02,2.005260797732702494e-01,5.865328607644466728e-05
3.117018998767608767e-02,1.998263068850207325e-01,6.065930321218208394e-05
9.822155453993622332e-02,2.009766177136877441e-01,5.699130751054990531e-05
1.078826372956960267e-01,1.991390340810354487e-01,6.305622982674593266e-05
1.122664443791160510e-01,2.011234308768374834e-01,5.667697586562029711e-05
1.089616860465972004e-01,2.007405761976891190e-01,5.814439874988538976e-05
1.125206677144532652e-01,1.998286582890781149e-01,6.099780744852662553e-05
1.131424454493521470e-01,2.006291954447795844e-01,5.853476993203536241e-05
1.081204219155187524e-01,1.997815892535967919e-01,6.112438879811393593e-05
1.082034926611897124e-01,1.990101955290174973e-01,6.336588706673248821e-05
1.131176711204456564e-01,1.991502288136300647e-01,6.306585742183308486e-05
1.110112391763580370e-01,2.007568337478199127e-01,5.733125338594554380e-05
1.122647751661194904e-01,1.991018103721602928e-01,6.318938520484230169e-05
1.143788726218077784e-01,2.007681879949365644e-01,5.808472055295333785e-05
1.156667564929958758e-01,2.010625707652787253e-01,5.703812983508442736e-05
