log_diff,betta,mu,Io,To
2.536205745041338749e-02,2.013914609361604491e-01,8.168652196257626674e-02,8.962509530053893112e-06,-1.000000000000000000e+00
4.028289924357136148e-02,1.945220273008687051e-01,7.474073726328052392e-02,6.248764419778634184e-06,-5.000000000000000000e+00
3.506336655808806047e-02,1.970080284326045927e-01,7.644540999228020828e-02,5.665325315102614045e-06,-5.000000000000000000e+00
2.746270421337375020e-02,1.943110616531579515e-01,7.397356040973282476e-02,6.002121880924533344e-06,-5.000000000000000000e+00
3.275765474038553476e-02,1.989997377105479637e-01,7.944750998048781543e-02,6.655615275490832613e-06,-4.000000000000000000e+00
4.901382705539126389e-02,2.103173093846619768e-01,9.028251055787780976e-02,6.253817496894950549e-06,-3.000000000000000000e+00
4.467311600632938723e-02,1.960906188445279696e-01,7.642229198162817094e-02,1.078165690906041622e-05,0.000000000000000000e+00
4.304612122276798430e-02,1.936534584555347216e-01,7.360421247133508427e-02,1.091024426829000484e-05,0.000000000000000000e+00
4.470046831720772551e-02,2.083560550479796047e-01,8.878022555228143320e-02,5.906218685225162749e-06,-4.000000000000000000e+00
4.397118029273795747e-02,2.037383072897848146e-01,8.409179435947460035e-02,1.094363980230094053e-05,1.000000000000000000e+00
2.531566541091107708e-02,1.943768281295053246e-01,7.406323416126621428e-02,9.507308828126336507e-06,-1.000000000000000000e+00
2.408019987538848397e-02,2.018861770577586867e-01,8.221132207792437863e-02,9.962660123185747342e-06,0.000000000000000000e+00
4.711642374987085047e-02,2.061844613737525700e-01,8.658668053010221133e-02,6.067718846850567949e-06,-4.000000000000000000e+00
4.727042449326508688e-02,2.096590431493940143e-01,8.990142168971090864e-02,5.747395328205794504e-06,-4.000000000000000000e+00
4.975296222375490129e-02,2.069713646711972277e-01,8.650449922682852677e-02,7.889059284440866771e-06,-1.000000000000000000e+00
3.098128621292241952e-02,2.050854986921350209e-01,8.520192761436976014e-02,5.374809729018259292e-06,-5.000000000000000000e+00
4.109676738463460127e-02,2.037842316904214246e-01,8.354562397653074457e-02,9.400568047395554294e-06,0.000000000000000000e+00
3.081671367223452751e-02,1.981869958970268186e-01,7.834649928223742787e-02,1.158661434235418671e-05,1.000000000000000000e+00
1.457436120550451540e-02,1.982823985092456998e-01,7.838151496597420276e-02,8.238611206044412882e-06,-2.000000000000000000e+00
4.694985583161500470e-02,1.865057545514618442e-01,6.478108752538809523e-02,7.033941767371172488e-06,-4.000000000000000000e+00
4.800235762901529368e-02,1.925836313426022295e-01,7.258201190787125223e-02,6.318796707073073091e-06,-5.000000000000000000e+00
4.793731742485028008e-02,1.979130028264052821e-01,7.714394578021684101e-02,7.802965090805949176e-06,-2.000000000000000000e+00
3.616727846234204374e-02,2.027922024715309024e-01,8.313147240113986924e-02,5.573823359918663592e-06,-5.000000000000000000e+00
4.319783576089496202e-02,1.856452154550218003e-01,6.320422195059899328e-02,6.107559107947490818e-06,-5.000000000000000000e+00
2.423153840600901499e-02,2.028874793222747164e-01,8.264026884254777050e-02,8.434965812413655945e-06,-1.000000000000000000e+00
8.528807596815932840e-03,1.990223946018213341e-01,7.908397758079294126e-02,5.775537585871012749e-06,-5.000000000000000000e+00
4.410655538975398471e-02,1.869961922002718324e-01,6.491656819395640043e-02,6.117685301884041337e-06,-5.000000000000000000e+00
4.005187870071851008e-02,1.959624880807011860e-01,7.632318609565247325e-02,9.709415318586553834e-06,-1.000000000000000000e+00
4.360196740507130131e-02,1.983026655605290567e-01,7.791880143965196348e-02,9.921424817841110620e-06,0.000000000000000000e+00
4.442174870062889219e-02,1.994588538283850743e-01,7.884514614081356010e-02,5.439543320864749265e-06,-5.000000000000000000e+00
4.634304206030617074e-02,2.050676830416736374e-01,8.455863677657227129e-02,8.021561527473246921e-06,-1.000000000000000000e+00
4.605687580818652871e-02,1.914760993530872368e-01,7.081718729856144312e-02,9.784976964298749573e-06,-1.000000000000000000e+00
4.671637986771742801e-02,2.059199196669297682e-01,8.637474648728987736e-02,1.068262019597098235e-05,1.000000000000000000e+00
4.928756054425861843e-02,2.003350251946474925e-01,8.093268978453349582e-02,7.361574459273380470e-06,-3.000000000000000000e+00
5.060500533685386576e-02,1.890959335770343308e-01,6.836257938226703024e-02,8.976962310856448200e-06,-2.000000000000000000e+00
4.614977610088837751e-02,2.038570172559751592e-01,8.439315691442131340e-02,9.833391054170160980e-06,0.000000000000000000e+00
4.544553897089703004e-02,2.001125362663731255e-01,8.005142823295637033e-02,7.869403124737003679e-06,-2.000000000000000000e+00
3.605078344870547152e-02,1.931264042811545179e-01,7.234084850084895879e-02,9.420556930473988943e-06,-1.000000000000000000e+00
