log_diff,betta,mu,Io,To
1.011680073789007206e-01,2.058513183837230587e-01,8.721171454816105395e-02,6.549028676242826288e-06,-4.000000000000000000e+00
1.696227641104113837e-01,2.093633004433161915e-01,9.027329695214578176e-02,1.081927707177607642e-05,1.000000000000000000e+00
1.482222690839548329e-01,2.047974254953557893e-01,8.412185960275236907e-02,7.805706305558196377e-06,-1.000000000000000000e+00
1.715367214772414439e-01,2.182238839908821615e-01,9.761249669248120431e-02,6.303748076381631335e-06,-2.000000000000000000e+00
1.236987342694997050e-01,1.945972231709825195e-01,7.354524407228356375e-02,8.842472809012503457e-06,-1.000000000000000000e+00
1.438076100815748049e-01,1.831122292473355007e-01,5.995675706589756460e-02,1.406471914997621913e-05,2.000000000000000000e+00
1.081478939307088938e-01,1.812903018759835505e-01,5.797495820214644546e-02,8.903419486324355090e-06,-2.000000000000000000e+00
1.895842720313499485e-01,2.133279751325378171e-01,9.359327300135593386e-02,8.476979419852025669e-06,0.000000000000000000e+00
1.333997244693697071e-01,1.830860901108223304e-01,5.533919817981652889e-02,8.430936121382997050e-06,0.000000000000000000e+00
8.264311683504485528e-02,1.905318602085157575e-01,7.051174177187521930e-02,9.112090642726333408e-06,-2.000000000000000000e+00
1.517558235645629916e-01,1.807860668923473024e-01,5.932039495766334297e-02,1.149403906893244969e-05,-1.000000000000000000e+00
1.255595744624923016e-01,1.860368145722943456e-01,6.337929773416202395e-02,8.299765827052147109e-06,-2.000000000000000000e+00
1.532936435041417078e-01,1.858129018440374813e-01,6.633925382816310834e-02,1.293234204777688125e-05,0.000000000000000000e+00
1.327405516500857752e-01,1.970071699746680227e-01,7.760549637863529970e-02,8.858095281005283028e-06,-2.000000000000000000e+00
1.842679379411914231e-01,2.131124864438337374e-01,9.373904533131385830e-02,6.518527280897290163e-06,-3.000000000000000000e+00
1.482312369510980776e-01,1.793124250200387459e-01,5.250823338651475908e-02,1.005218021783515818e-05,0.000000000000000000e+00
1.605336406972338592e-01,1.935625533398613873e-01,7.555811544930615686e-02,1.009858331670882450e-05,-2.000000000000000000e+00
1.222554671281751715e-01,2.030311257647516854e-01,8.250438154526898438e-02,5.983372634232524740e-06,-4.000000000000000000e+00
9.580511067650758494e-02,2.116214244395380195e-01,9.228844845551423259e-02,1.015035760866078036e-05,1.000000000000000000e+00
4.886843619748758305e-02,1.918808601864895880e-01,7.110090432984395026e-02,1.204242017229867145e-05,1.000000000000000000e+00
1.298361433269697440e-01,2.013534727002512792e-01,8.285224217010195291e-02,7.072136421628741014e-06,-4.000000000000000000e+00
1.213557109224739500e-01,1.828934572253434754e-01,5.893643039195550076e-02,5.783760324684548385e-06,-5.000000000000000000e+00
1.361346338639354836e-01,1.913405249010221298e-01,7.273371254379251694e-02,1.260385587959703062e-05,0.000000000000000000e+00
1.264400347828048554e-01,2.054676634371688237e-01,8.687358775086317930e-02,1.033369197129646793e-05,0.000000000000000000e+00
1.707650304939387909e-01,1.801666616232669160e-01,5.789499673510799249e-02,1.008221167451987621e-05,-2.000000000000000000e+00
1.219893313439816412e-01,2.169301909552194818e-01,9.586714541274138357e-02,4.866276416232764123e-06,-4.000000000000000000e+00
1.920259794881334636e-01,1.827926972004370598e-01,5.927855371246316951e-02,7.896387106924210281e-06,-3.000000000000000000e+00
1.523832637048696259e-01,1.964759918145051465e-01,7.805792064667294028e-02,1.457610783592087455e-05,2.000000000000000000e+00
1.244398771561907868e-01,1.798881156672584025e-01,5.583645865347850595e-02,6.992571666101878689e-06,-4.000000000000000000e+00
1.080966360968554363e-01,1.924485401551220831e-01,7.358239998667398529e-02,7.746473040948866534e-06,-4.000000000000000000e+00
1.344595811215587855e-01,2.221086119950016757e-01,1.006232515430801611e-01,5.525244931460871145e-06,-2.000000000000000000e+00
1.281708548453134033e-01,1.822675310968908668e-01,5.424717866895700791e-02,8.540662492582766418e-06,0.000000000000000000e+00
1.734122605035310072e-01,1.893847854897965366e-01,6.709824955242205125e-02,9.298743775830453639e-06,-1.000000000000000000e+00
1.735724053445975024e-01,2.004291226274214632e-01,8.248307340597829662e-02,1.298162401791098618e-05,1.000000000000000000e+00
1.889462902465120497e-01,2.142682442121158770e-01,9.557777912736012405e-02,8.366829791989602411e-06,-1.000000000000000000e+00
1.429094127387896818e-01,1.861880645471645224e-01,6.666631515013383968e-02,9.132925839889517231e-06,-3.000000000000000000e+00
1.683843410834758580e-01,1.893199825723934082e-01,6.571220795097745815e-02,6.493496475153281395e-06,-3.000000000000000000e+00
1.944477788558523490e-01,1.868985267953826857e-01,6.774611520574080892e-02,7.236804154201999078e-06,-5.000000000000000000e+00
2.487943547290611956e-01,2.137414573130109741e-01,9.122533654576125972e-02,8.109833837476789422e-06,1.000000000000000000e+00
2.451894725987910362e-01,1.849176364377658199e-01,5.376491793561170851e-02,5.824031248021232059e-06,-1.000000000000000000e+00
1.957155552166477130e-01,2.285516029108805025e-01,1.079296654460477900e-01,5.659172713133951880e-06,-2.000000000000000000e+00
2.131215778396028382e-01,1.848717372701005890e-01,5.712187919208158021e-02,8.166108615528144588e-06,0.000000000000000000e+00
1.978173069913439219e-01,1.996791126524032622e-01,8.155125396805903981e-02,1.050663753639393228e-05,-1.000000000000000000e+00
2.448219217117447444e-01,1.967297483705242878e-01,7.953883124038761687e-02,1.046832373897456618e-05,-2.000000000000000000e+00
2.163448343093430093e-01,1.791566407442742592e-01,4.937195376977880634e-02,4.517332171440912683e-06,-5.000000000000000000e+00
1.957326345579382121e-01,1.839941084326471021e-01,6.218842796262732953e-02,6.806881961709986506e-06,-5.000000000000000000e+00
2.379435750175709630e-01,2.094776649723752993e-01,8.643060288744187913e-02,5.518437040592575856e-06,-2.000000000000000000e+00
2.452079689921592975e-01,2.241811591867580444e-01,1.013892181449254082e-01,7.598180914349457373e-06,2.000000000000000000e+00
2.192261898160222378e-01,2.084963796609050624e-01,9.091378677242770157e-02,9.445938461367005956e-06,-1.000000000000000000e+00
2.217160117132613850e-01,2.235285437144892140e-01,1.017855776703469606e-01,8.289764164228729225e-06,2.000000000000000000e+00
2.241484614500856287e-01,1.825787094845193193e-01,4.730575395978032366e-02,6.725477019430967810e-06,1.000000000000000000e+00
2.260630133745054615e-01,2.049438141354997245e-01,8.268072132321013790e-02,7.733145418756292769e-06,0.000000000000000000e+00
